year,state,naics_sector,tech_type,use_level,used_tech,n_firms,n_emp,revenue,payroll
2018,11,Total,artificial intelligence,"Tested, but did not use in production or service",Tested only,109,6256,0,966476
2018,11,Total,artificial intelligence,Low use,Used,480,17184,0,1985697
2018,11,Total,artificial intelligence,Moderate use,Used,256,12943,0,1790747
2018,11,Total,artificial intelligence,High use,Used,66,545,0,91692
2018,11,Total,artificial intelligence,Don't know,Unknown,918,33929,0,3538156
2018,11,Total,cloud-based,Did not use,Did not use,3524,68200,0,4311551
2018,11,Total,cloud-based,"Tested, but did not use in production or service",Tested only,32,911,0,79536
2018,11,Total,cloud-based,Low use,Used,1026,18582,0,2020542
2018,11,Total,cloud-based,Moderate use,Used,1998,65397,0,7459233
2018,11,Total,cloud-based,High use,Used,1923,45134,0,4820236
2018,11,Total,cloud-based,Don't know,Unknown,1070,41184,0,4116199
2018,11,Total,specialized software,"Tested, but did not use in production or service",Tested only,27,693,0,107735
2018,11,Total,specialized software,Did not use,Did not use,3986,69612,0,5215347
2018,11,Total,specialized software,Low use,Used,722,19197,0,2167022
2018,11,Total,specialized software,Moderate use,Used,1762,44110,0,4467909
2018,11,Total,specialized software,High use,Used,2000,63603,0,6687220
2018,11,Total,specialized software,Don't know,Unknown,1003,41955,0,4131179
2018,12,Total,artificial intelligence,Low use,Used,5691,407595,0,20016634
2018,12,Total,artificial intelligence,Did not use,Did not use,321459,4182564,0,177835208
2018,12,Total,artificial intelligence,"Tested, but did not use in production or service",Tested only,1788,220956,0,9876490
2018,12,Total,artificial intelligence,Moderate use,Used,4450,154067,0,9050156
2018,12,Total,artificial intelligence,High use,Used,2032,27907,0,2457878
2018,12,Total,artificial intelligence,Don't know,Unknown,17563,668782,0,39090888
2018,12,Total,cloud-based,Did not use,Did not use,211256,1996852,0,78873760
2018,12,Total,cloud-based,"Tested, but did not use in production or service",Tested only,3289,69370,0,3204162
2018,12,Total,cloud-based,Low use,Used,35874,648163,0,30380259
2018,12,Total,cloud-based,Moderate use,Used,45513,1333704,0,62070394
2018,12,Total,cloud-based,High use,Used,43133,1057784,0,49886477
2018,12,Total,cloud-based,Don't know,Unknown,19071,596381,0,35444093
2018,12,Total,specialized software,Did not use,Did not use,190331,1516944,0,57632525
2018,12,Total,specialized software,"Tested, but did not use in production or service",Tested only,1685,54065,0,2351066
2018,12,Total,specialized software,Low use,Used,27851,305596,0,13764081
2018,12,Total,specialized software,Moderate use,Used,48917,1298850,0,58767640
2018,12,Total,specialized software,High use,Used,66077,1754627,0,83596882
2018,12,Total,specialized software,Don't know,Unknown,18112,731600,0,42197485
2018,12,Total,robotics,Did not use,Did not use,339086,4196752,0,176652974
2018,12,Total,robotics,"Tested, but did not use in production or service",Tested only,507,146988,0,8443774
2018,12,Total,robotics,Low use,Used,3335,415909,0,20907191
2018,12,Total,robotics,Moderate use,Used,2411,140024,0,9644938
2018,12,Total,robotics,High use,Used,981,205535,0,8500079
2018,12,Total,robotics,Don't know,Unknown,12224,598534,0,35736461
2018,12,Total,specialized equipment,Did not use,Did not use,277519,3303186,0,135713992
2018,12,Total,specialized equipment,"Tested, but did not use in production or service",Tested only,1128,29396,0,1963719
2018,12,Total,specialized equipment,Low use,Used,18366,294745,0,13446789
2018,12,Total,specialized equipment,Moderate use,Used,24061,567822,0,28644908
2018,12,Total,specialized equipment,High use,Used,18844,728379,0,34015622
2018,12,Total,specialized equipment,Don't know,Unknown,18575,779940,0,46099256
2018,13,Total,artificial intelligence,Did not use,Did not use,125351,1917495,0,88431105
2018,13,Total,artificial intelligence,"Tested, but did not use in production or service",Tested only,810,76435,0,4120969
2018,13,Total,artificial intelligence,Low use,Used,2672,310325,0,16747303
2018,13,Total,artificial intelligence,Moderate use,Used,1535,86981,0,5761819
2018,13,Total,artificial intelligence,High use,Used,673,12782,0,805396
2018,13,Total,artificial intelligence,Don't know,Unknown,9563,503414,0,31468280
2018,13,Total,cloud-based,Did not use,Did not use,80201,856347,0,34691949
2018,13,Total,cloud-based,"Tested, but did not use in production or service",Tested only,1715,42250,0,2451435
2018,13,Total,cloud-based,Low use,Used,13856,294478,0,13407188
2018,13,Total,cloud-based,Moderate use,Used,18437,705600,0,39892505
2018,13,Total,cloud-based,High use,Used,18356,635407,0,33220904
2018,13,Total,cloud-based,Don't know,Unknown,9218,391623,0,24754369
2018,13,Total,specialized software,Low use,Used,10156,205989,0,10115720
2018,13,Total,specialized software,Did not use,Did not use,72637,804167,0,30883577
2018,13,Total,specialized software,"Tested, but did not use in production or service",Tested only,545,14011,0,547806
2018,13,Total,specialized software,Moderate use,Used,19984,590761,0,29255487
2018,13,Total,specialized software,High use,Used,28319,859243,0,49677069
