state,naics_sector,produced,n_firms,n_emp
51,23,Don't know,445,9887
54,23,Yes,0,0
54,23,No,2008,19010
54,23,Don't know,0,0
55,23,Yes,0,0
55,23,No,14879,131785
55,23,Don't know,0,0
56,23,Don't know,0,0
56,23,Yes,0,0
56,23,No,2293,15174
01,31-33,Yes,0,0
01,31-33,No,3228,214142
01,31-33,Don't know,261,35260
02,31-33,Yes,0,0
02,31-33,No,282,6781
02,31-33,Don't know,0,0
04,31-33,Yes,0,0
04,31-33,No,3184,95592
04,31-33,Don't know,150,31176
05,31-33,Yes,0,0
05,31-33,No,1802,89076
05,31-33,Don't know,169,53592
06,31-33,Yes,91,22381
06,31-33,No,26297,698833
06,31-33,Don't know,2328,158992
08,31-33,Yes,0,0
08,31-33,No,4070,86656
08,31-33,Don't know,210,18247
09,31-33,Yes,0,0
09,31-33,No,3159,99120
09,31-33,Don't know,124,25879
10,31-33,Yes,0,0
10,31-33,No,428,29696
10,31-33,Don't know,55,3494
11,31-33,Yes,0,0
11,31-33,No,62,699
11,31-33,Don't know,0,0
12,31-33,Yes,59,8625
12,31-33,No,9711,202250
12,31-33,Don't know,378,39049
13,31-33,Yes,37,12021
13,31-33,No,5205,268709
13,31-33,Don't know,230,51405
15,31-33,Yes,0,0
15,31-33,No,561,9680
15,31-33,Don't know,0,0
16,31-33,Don't know,55,8958
16,31-33,Yes,0,0
16,31-33,No,1464,51010
17,31-33,Yes,89,20014
17,31-33,No,9993,431986
17,31-33,Don't know,699,66950
18,31-33,Yes,0,0
18,31-33,No,6454,429082
18,31-33,Don't know,325,92834
19,31-33,Yes,0,0
19,31-33,No,2451,133856
19,31-33,Don't know,182,50992
20,31-33,No,2233,108593
20,31-33,Yes,0,0
20,31-33,Don't know,122,49744
21,31-33,Yes,0,0
21,31-33,No,2614,172183
21,31-33,Don't know,235,42727
22,31-33,Yes,0,0
22,31-33,No,2232,90599
22,31-33,Don't know,147,13305
24,31-33,Yes,0,0
24,31-33,No,2264,70443
24,31-33,Don't know,117,13600
23,31-33,Yes,0,0
23,31-33,No,1204,25965
23,31-33,Don't know,70,2784
25,31-33,Yes,21,5848
25,31-33,No,5026,150648
25,31-33,Don't know,243,36449
26,31-33,Yes,27,47240
26,31-33,No,9958,413905
26,31-33,Don't know,473,64986
27,31-33,Yes,0,0
27,31-33,No,5569,218584
27,31-33,Don't know,430,38578
28,31-33,Yes,0,0
28,31-33,No,1573,87623
28,31-33,Don't know,69,13071
29,31-33,Yes,15,16320
29,31-33,No,4271,168867
29,31-33,Don't know,185,52539
30,31-33,Yes,0,0
30,31-33,No,1125,15344
30,31-33,Don't know,52,1900
31,31-33,No,1519,72692
31,31-33,Yes,0,0
31,31-33,Don't know,51,21894
32,31-33,Yes,0,0
32,31-33,No,1196,29365
32,31-33,Don't know,79,8881
34,31-33,Yes,0,0
34,31-33,No,5328,150447
34,31-33,Don't know,350,27709
33,31-33,Yes,0,0
33,31-33,No,1396,42538
33,31-33,Don't know,116,8306
35,31-33,No,1131,20232
35,31-33,Yes,0,0
35,31-33,Don't know,46,2730
36,31-33,Yes,0,0
36,31-33,No,10320,261700
36,31-33,Don't know,617,47553
37,31-33,Yes,101,6894
37,31-33,No,6638,388703
37,31-33,Don't know,222,81463
38,31-33,Yes,0,0
38,31-33,No,598,19580
38,31-33,Don't know,0,0
39,31-33,Yes,120,28446
39,31-33,No,10548,490426
39,31-33,Don't know,678,68905
40,31-33,Yes,0,0
40,31-33,No,2628,95427
40,31-33,Don't know,141,13978
41,31-33,Yes,0,0
41,31-33,No,4458,123739
41,31-33,Don't know,235,22191
42,31-33,Yes,30,7414
42,31-33,No,9985,379644
42,31-33,Don't know,672,82871
45,31-33,Yes,0,0
45,31-33,No,3157,180282
45,31-33,Don't know,123,49168
44,31-33,Yes,0,0
44,31-33,No,781,22133
44,31-33,Don't know,53,5135
46,31-33,Yes,0,0
46,31-33,No,792,35948
46,31-33,Don't know,33,6077
47,31-33,Yes,18,13539
47,31-33,No,4067,213750
47,31-33,Don't know,306,57787
48,31-33,Yes,53,36461
48,31-33,No,13715,563401
48,31-33,Don't know,712,128670
49,31-33,Yes,0,0
49,31-33,No,2826,86280
49,31-33,Don't know,87,7302
50,31-33,Yes,0,0
50,31-33,No,766,14960
50,31-33,Don't know,25,1145
53,31-33,Yes,36,6864
53,31-33,No,5442,142428
53,31-33,Don't know,314,126180
51,31-33,Yes,0,0
51,31-33,No,3860,170912
51,31-33,Don't know,231,31412
54,31-33,Yes,0,0
54,31-33,No,863,40534
54,31-33,Don't know,41,2652
55,31-33,Yes,16,14036
55,31-33,No,7049,364802
55,31-33,Don't know,323,45736
56,31-33,Yes,0,0
56,31-33,No,397,7621
56,31-33,Don't know,61,2119
01,42,Yes,0,0
01,42,No,3580,66744
01,42,Don't know,201,5558
02,42,Don't know,72,477
02,42,Yes,0,0
02,42,No,316,6512
04,42,Yes,32,564
04,42,No,4172,77829
04,42,Don't know,124,9889
05,42,Yes,0,0
05,42,No,2369,27522
05,42,Don't know,98,3065
06,42,Yes,223,12536
06,42,No,37891,526020
06,42,Don't know,3522,83234
08,42,Yes,25,1229
08,42,No,5275,68754
08,42,Don't know,212,13388
09,42,Yes,0,0
09,42,No,2681,42554
09,42,Don't know,237,12661
10,42,Yes,0,0
10,42,No,709,17446
10,42,Don't know,104,603
11,42,Don't know,27,553
11,42,Yes,0,0
11,42,No,148,2282
12,42,Yes,88,3243
12,42,No,21276,221598
12,42,Don't know,1179,24594
13,42,Yes,184,3704
13,42,No,8832,141561
13,42,Don't know,438,22216
15,42,Yes,0,0
15,42,No,1336,12484
15,42,Don't know,78,954
16,42,Yes,0,0
16,42,No,1297,23712
16,42,Don't know,135,4513
17,42,Yes,107,7858
17,42,No,11409,190018
17,42,Don't know,840,42141
18,42,Don't know,520,8595
18,42,Yes,69,498
18,42,No,5217,86773
19,42,Yes,0,0
19,42,No,3092,46939
19,42,Don't know,158,4113
20,42,Yes,17,2841
20,42,No,2503,41444
20,42,Don't know,0,0
21,42,Yes,0,0
21,42,No,3111,50575
21,42,Don't know,140,4981
22,42,Yes,15,581
22,42,No,0,0
22,42,Don't know,213,4732
24,42,Yes,62,663
24,42,No,3538,51918
24,42,Don't know,148,9465
23,42,Yes,0,0
23,42,No,1052,11321
23,42,Don't know,41,752
25,42,Yes,85,1640
25,42,No,4938,103870
25,42,Don't know,292,20177
26,42,Yes,15,2519
26,42,No,7956,140643
26,42,Don't know,681,24894
27,42,Yes,83,2001
27,42,No,5644,111535
27,42,Don't know,434,10629
28,42,Yes,0,0
28,42,No,1647,20280
28,42,Don't know,77,2935
29,42,Yes,19,368
29,42,No,4714,95017
29,42,Don't know,531,11494
30,42,Yes,0,0
30,42,No,961,9366
30,42,Don't know,30,445
31,42,Yes,0,0
31,42,No,1835,25018
31,42,Don't know,54,2334
32,42,Yes,28,232
32,42,No,2081,23917
32,42,Don't know,113,5745
34,42,Yes,103,7380
34,42,No,10177,197518
34,42,Don't know,717,37454
33,42,No,1461,17386
33,42,Yes,0,0
33,42,Don't know,102,2811
35,42,Yes,30,236
35,42,No,1221,15561
35,42,Don't know,56,777
36,42,Yes,58,5726
36,42,No,18776,246079
36,42,Don't know,1404,28778
37,42,Yes,161,4956
37,42,No,8298,158843
37,42,Don't know,430,15561
38,42,Don't know,82,2684
38,42,Yes,0,0
38,42,No,978,12215
39,42,Don't know,619,28937
39,42,Yes,24,1340
39,42,No,8761,129678
40,42,Yes,0,0
40,42,No,2515,37234
40,42,Don't know,254,3518
41,42,Yes,30,773
41,42,No,3803,55787
41,42,Don't know,159,8943
42,42,Yes,79,2321
42,42,No,10149,194744
42,42,Don't know,417,28991
45,42,No,3261,50048
45,42,Yes,0,0
45,42,Don't know,207,6683
44,42,Yes,0,0
44,42,No,696,9854
44,42,Don't know,84,3509
46,42,Yes,0,0
46,42,No,961,12583
46,42,Don't know,89,1595
47,42,Don't know,321,13587
47,42,Yes,25,1178
47,42,No,3952,89541
48,42,Yes,130,12087
48,42,No,18372,374616
48,42,Don't know,1226,50549
49,42,Yes,19,306
49,42,No,2130,42469
49,42,Don't know,84,3645
50,42,Yes,0,0
50,42,No,565,15185
50,42,Don't know,19,369
53,42,Yes,78,2619
53,42,No,6191,76096
53,42,Don't know,253,10020
51,42,No,4526,84209
51,42,Yes,68,3351
51,42,Don't know,367,10728
54,42,Yes,0,0
54,42,No,725,6782
54,42,Don't know,40,1910
55,42,Yes,77,5501
55,42,No,4715,91316
55,42,Don't know,316,14475
56,42,Yes,0,0
56,42,No,342,4895
56,42,Don't know,32,176
01,44-45,Yes,0,0
01,44-45,No,8046,190771
01,44-45,Don't know,879,21412
02,44-45,Yes,0,0
02,44-45,No,1188,19880
02,44-45,Don't know,0,0
04,44-45,No,7021,214571
04,44-45,Yes,0,0
04,44-45,Don't know,308,45218
05,44-45,Yes,0,0
05,44-45,No,6400,128180
05,44-45,Don't know,166,6154
06,44-45,Yes,0,0
06,44-45,No,54037,1132542
06,44-45,Don't know,3813,227822
08,44-45,Yes,0,0
08,44-45,No,11656,221411
08,44-45,Don't know,321,29802
09,44-45,Yes,0,0
