state,naics2017,firms_using_artificial_intelligence,firms_using_cloud_based,firms_using_robotics,firms_using_specialized_equipment,firms_using_specialized_software,emp_using_artificial_intelligence,emp_using_cloud_based,emp_using_robotics,emp_using_specialized_equipment,emp_using_specialized_software
29,21,0,0,0,0,0,0,0,0,0,0
29,22,0,0,0,0,0,0,0,0,0,0
29,23,211,2107,0,2073,2739,6280,34206,0,33217,45316
29,31-33,103,1364,430,1647,2036,58550,135964,94800,136337,164352
29,42,74,1919,266,719,2251,5246,50798,10848,21860,49780
29,44-45,298,3410,338,2195,4543,79646,191669,36447,138624,202012
29,48-49,49,949,48,541,1202,14817,49067,9575,24675,54643
29,51,85,639,0,217,622,4282,22447,0,12337,20473
29,52,304,2578,30,330,3169,13402,72632,10865,19154,70054
29,53,0,1905,0,0,822,0,17343,0,0,10417
29,54,360,6177,384,2143,7182,13067,106625,39159,56500,112469
29,55,24,254,43,93,264,2647,18318,3742,7809,19774
29,56,63,1916,57,1002,2338,3500,74834,6060,20568,79393
29,61,0,0,0,0,0,0,0,0,0,0
29,62,0,3146,0,2365,4296,0,88824,0,44419,78992
29,71,0,256,0,0,0,0,10020,0,0,0
29,72,0,1917,0,701,1965,0,93851,0,45455,99108
29,81,0,1520,0,2511,2627,0,16085,0,16590,19404
29,99,0,0,0,0,0,0,0,0,0,0
30,00,968,8144,657,5160,9697,29828,140463,40655,118324,157507
30,11,0,0,0,0,0,0,0,0,0,0
30,21,0,0,0,16,24,0,0,0,676,972
30,22,0,0,0,0,0,0,0,0,0,0
30,23,0,508,0,336,515,0,2841,0,1821,3215
30,31-33,0,333,89,531,468,0,9499,4022,10641,10694
30,42,14,330,71,114,200,302,5102,913,3081,4676
30,44-45,0,871,0,344,1003,0,23785,0,13540,28236
30,48-49,0,354,0,85,153,0,5330,0,2542,4240
