state,naics_sector,impact,n_firms,n_emp
44,00,Did not change number of workers employed by this business,292,15846
44,00,Increased skill level of workers employed by this business,83,10067
44,00,Decreased skill level of workers employed by this business,0,0
44,00,Did not change skill level of workers employed by this business,252,11531
44,00,Increased STEM skills of workers employed by this business,129,10814
44,00,Decreased STEM skills of workers employed by this business,0,0
44,00,Did not change STEM skills of workers employed by this business,154,8938
44,00,"Not applicable, did not employ workers with STEM skills",53,1846
46,00,Increased number of workers employed by this business,108,9299
46,00,Decreased number of workers employed by this business,0,0
46,00,Did not change number of workers employed by this business,494,11977
46,00,Increased skill level of workers employed by this business,193,12692
46,00,Decreased skill level of workers employed by this business,0,0
46,00,Did not change skill level of workers employed by this business,422,9486
46,00,Increased STEM skills of workers employed by this business,156,12364
46,00,Decreased STEM skills of workers employed by this business,0,0
46,00,Did not change STEM skills of workers employed by this business,384,9009
46,00,"Not applicable, did not employ workers with STEM skills",75,804
47,00,Increased number of workers employed by this business,626,111551
47,00,Decreased number of workers employed by this business,252,14412
47,00,Did not change number of workers employed by this business,1957,180884
47,00,Increased skill level of workers employed by this business,1264,171600
47,00,Decreased skill level of workers employed by this business,0,0
47,00,Did not change skill level of workers employed by this business,1447,133245
47,00,Increased STEM skills of workers employed by this business,1077,162849
47,00,Decreased STEM skills of workers employed by this business,0,0
47,00,Did not change STEM skills of workers employed by this business,1075,128872
47,00,"Not applicable, did not employ workers with STEM skills",566,14778
48,00,Increased number of workers employed by this business,1494,445843
48,00,Decreased number of workers employed by this business,970,74117
48,00,Did not change number of workers employed by this business,8983,592327
48,00,Increased skill level of workers employed by this business,4884,658466
48,00,Decreased skill level of workers employed by this business,197,2428
48,00,Did not change skill level of workers employed by this business,6366,451393
48,00,Increased STEM skills of workers employed by this business,3677,686369
48,00,Decreased STEM skills of workers employed by this business,0,0
48,00,Did not change STEM skills of workers employed by this business,4555,354504
48,00,"Not applicable, did not employ workers with STEM skills",3008,69132
49,00,Increased number of workers employed by this business,277,53781
49,00,Decreased number of workers employed by this business,0,0
49,00,Did not change number of workers employed by this business,1345,60205
49,00,Increased STEM skills of workers employed by this business,621,79205
49,00,Increased skill level of workers employed by this business,777,63650
49,00,Decreased skill level of workers employed by this business,0,0
49,00,Did not change skill level of workers employed by this business,977,54973
49,00,Decreased STEM skills of workers employed by this business,0,0
49,00,Did not change STEM skills of workers employed by this business,816,34612
49,00,"Not applicable, did not employ workers with STEM skills",371,6971
50,00,Increased number of workers employed by this business,108,2375
50,00,Decreased number of workers employed by this business,0,0
50,00,Did not change number of workers employed by this business,192,5951
50,00,Increased skill level of workers employed by this business,256,4849
50,00,Decreased skill level of workers employed by this business,0,0
50,00,Did not change skill level of workers employed by this business,101,4064
50,00,Increased STEM skills of workers employed by this business,196,4336
50,00,Decreased STEM skills of workers employed by this business,0,0
50,00,Did not change STEM skills of workers employed by this business,151,2480
50,00,"Not applicable, did not employ workers with STEM skills",0,0
53,00,Increased number of workers employed by this business,671,76632
53,00,Decreased number of workers employed by this business,436,17744
53,00,Did not change number of workers employed by this business,2414,235343
53,00,Increased skill level of workers employed by this business,1878,119881
53,00,Decreased skill level of workers employed by this business,0,0
53,00,Did not change skill level of workers employed by this business,1530,208999
53,00,Increased STEM skills of workers employed by this business,1327,111442
53,00,Decreased STEM skills of workers employed by this business,0,0
53,00,Did not change STEM skills of workers employed by this business,1524,204341
53,00,"Not applicable, did not employ workers with STEM skills",666,13822
51,00,Increased number of workers employed by this business,736,126834
51,00,Decreased number of workers employed by this business,133,28931
51,00,Did not change number of workers employed by this business,3161,189397
51,00,Increased skill level of workers employed by this business,1950,205829
51,00,Decreased skill level of workers employed by this business,0,0
51,00,Did not change skill level of workers employed by this business,2035,138959
51,00,Increased STEM skills of workers employed by this business,1667,209976
51,00,Decreased STEM skills of workers employed by this business,0,0
51,00,Did not change STEM skills of workers employed by this business,1355,115312
51,00,"Not applicable, did not employ workers with STEM skills",951,19596
54,00,Increased number of workers employed by this business,84,21389
54,00,Decreased number of workers employed by this business,63,3632
54,00,Did not change number of workers employed by this business,480,29018
54,00,Increased skill level of workers employed by this business,160,27809
54,00,Decreased skill level of workers employed by this business,0,0
54,00,Did not change skill level of workers employed by this business,414,24326
54,00,Increased STEM skills of workers employed by this business,162,27962
54,00,Decreased STEM skills of workers employed by this business,0,0
54,00,Did not change STEM skills of workers employed by this business,343,24544
54,00,"Not applicable, did not employ workers with STEM skills",122,1332
55,00,Increased number of workers employed by this business,401,83329
55,00,Decreased number of workers employed by this business,124,22260
55,00,Did not change number of workers employed by this business,2450,183436
55,00,Increased skill level of workers employed by this business,1304,145727
55,00,Decreased skill level of workers employed by this business,0,0
55,00,Did not change skill level of workers employed by this business,1654,143104
55,00,"Not applicable, did not employ workers with STEM skills",615,10479
55,00,Increased STEM skills of workers employed by this business,1055,169071
55,00,Decreased STEM skills of workers employed by this business,0,0
55,00,Did not change STEM skills of workers employed by this business,1301,109423
56,00,Increased number of workers employed by this business,22,8148
56,00,Decreased number of workers employed by this business,16,1238
56,00,Did not change number of workers employed by this business,312,9407
56,00,Increased STEM skills of workers employed by this business,105,13631
56,00,Increased skill level of workers employed by this business,70,11890
56,00,Decreased skill level of workers employed by this business,0,0
56,00,Did not change skill level of workers employed by this business,281,6145
56,00,Decreased STEM skills of workers employed by this business,0,0
56,00,Did not change STEM skills of workers employed by this business,137,3922
